Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1957-03-04 00:00:00-05:00,44.06,44.06,44.06,44.06,1890000,0.0,0.0
1957-03-05 00:00:00-05:00,44.22,44.22,44.22,44.22,1860000,0.0,0.0
1957-03-06 00:00:00-05:00,44.23,44.23,44.23,44.23,1840000,0.0,0.0
1957-03-07 00:00:00-05:00,44.21,44.21,44.21,44.21,1830000,0.0,0.0
1957-03-08 00:00:00-05:00,44.07,44.07,44.07,44.07,1630000,0.0,0.0
1957-03-11 00:00:00-05:00,43.78,43.78,43.78,43.78,1650000,0.0,0.0
1957-03-12 00:00:00-05:00,43.75,43.75,43.75,43.75,1600000,0.0,0.0
1957-03-13 00:00:00-05:00,44.04,44.04,44.04,44.04,1840000,0.0,0.0
1957-03-14 00:00:00-05:00,44.07,44.07,44.07,44.07,1580000,0.0,0.0
1957-03-15 00:00:00-05:00,44.05,44.05,44.05,44.05,1600000,0.0,0.0
1957-03-18 00:00:00-05:00,43.85,43.85,43.85,43.85,1450000,0.0,0.0
1957-03-19 00:00:00-05:00,44.04,44.04,44.04,44.04,1540000,0.0,0.0
1957-03-20 00:00:00-05:00,44.1,44.1,44.1,44.1,1830000,0.0,0.0
1957-03-21 00:00:00-05:00,44.11,44.11,44.11,44.11,1630000,0.0,0.0
1957-03-22 00:00:00-05:00,44.06,44.06,44.06,44.06,1610000,0.0,0.0
1957-03-25 00:00:00-05:00,43.88,43.88,43.88,43.88,1590000,0.0,0.0
1957-03-26 00:00:00-05:00,43.91,43.91,43.91,43.91,1660000,0.0,0.0
1957-03-27 00:00:00-05:00,44.09,44.09,44.09,44.09,1710000,0.0,0.0
1957-03-28 00:00:00-05:00,44.18,44.18,44.18,44.18,1930000,0.0,0.0
1957-03-29 00:00:00-05:00,44.11,44.11,44.11,44.11,1650000,0.0,0.0
1957-04-01 00:00:00-05:00,44.14,44.14,44.14,44.14,1620000,0.0,0.0
1957-04-02 00:00:00-05:00,44.42,44.42,44.42,44.42,2300000,0.0,0.0
1957-04-03 00:00:00-05:00,44.54,44.54,44.54,44.54,2160000,0.0,0.0
1957-04-04 00:00:00-05:00,44.44,44.44,44.44,44.44,1820000,0.0,0.0
1957-04-05 00:00:00-05:00,44.49,44.49,44.49,44.49,1830000,0.0,0.0
1957-04-08 00:00:00-05:00,44.39,44.39,44.39,44.39,1950000,0.0,0.0
1957-04-09 00:00:00-05:00,44.79,44.79,44.79,44.79,2400000,0.0,0.0
1957-04-10 00:00:00-05:00,44.98,44.98,44.98,44.98,2920000,0.0,0.0
