Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-10-16 00:00:00+09:00,858.5,873.9,851.3,867.1,193900,0.0,0.0
2000-10-17 00:00:00+09:00,849.6,860.1,791.1,804.0,218200,0.0,0.0
2000-10-18 00:00:00+09:00,788.5,811.4,758.2,802.6,241000,0.0,0.0
2000-10-19 00:00:00+09:00,793.6,820.4,786.9,798.4,204500,0.0,0.0
2000-10-20 00:00:00+09:00,834.7,840.9,822.5,826.2,221900,0.0,0.0
2000-10-23 00:00:00+09:00,820.0,829.8,794.4,796.4,182400,0.0,0.0
2000-10-24 00:00:00+09:00,793.6,809.8,784.8,808.9,204700,0.0,0.0
2000-10-25 00:00:00+09:00,805.0,816.2,801.7,808.6,214500,0.0,0.0
2000-10-26 00:00:00+09:00,793.8,802.0,785.4,793.8,195700,0.0,0.0
2000-10-27 00:00:00+09:00,806.4,810.1,780.5,783.7,222800,0.0,0.0
2000-10-30 00:00:00+09:00,776.4,779.8,735.2,741.8,167700,0.0,0.0
2000-10-31 00:00:00+09:00,719.3,748.0,676.9,746.8,225500,0.0,0.0
2000-11-01 00:00:00+09:00,762.0,771.1,756.8,763.6,240400,0.0,0.0
2000-11-02 00:00:00+09:00,758.0,790.1,755.7,782.5,253100,0.0,0.0
2000-11-03 00:00:00+09:00,800.7,809.8,788.2,795.4,242400,0.0,0.0
2000-11-06 00:00:00+09:00,794.0,816.9,792.1,804.6,246700,0.0,0.0
2000-11-07 00:00:00+09:00,803.9,810.3,790.6,796.3,276200,0.0,0.0
2000-11-08 00:00:00+09:00,793.8,804.5,784.2,793.1,238400,0.0,0.0
2000-11-09 00:00:00+09:00,785.3,801.1,785.3,801.1,211900,0.0,0.0
2000-11-10 00:00:00+09:00,800.5,810.9,798.4,808.3,246800,0.0,0.0
2000-11-13 00:00:00+09:00,797.2,798.0,775.8,780.7,243200,0.0,0.0
2000-11-14 00:00:00+09:00,782.3,800.9,782.3,800.9,287900,0.0,0.0
2000-11-15 00:00:00+09:00,819.3,834.4,808.4,816.4,368400,0.0,0.0
2000-11-16 00:00:00+09:00,821.1,822.0,798.3,808.6,293800,0.0,0.0
